Word,Definition
best,the supreme effort one can make
finding,"the act of determining the properties of something, usually by research or calculation"
old,past times (especially in the phrase `in days of old')
newspaper,a daily or weekly publication on folded sheets; contains news and articles and advertisements
unusual,not usual or common or ordinary
hey,unavailable
said,express in words
want,a state of extreme poverty
come,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
bomb,an explosive device fused to explode under specific conditions
shelter,a structure that provides privacy and protection from danger
built,make by combining materials and parts
little,a small amount or duration
town,an urban area with a fixed boundary that is smaller than a city
lived,inhabit or live in; be an inhabitant of
commuter,a passenger train that is ridden primarily by passengers who travel regularly from one place to another
train,public transport provided by a line of railway cars coupled together and drawn by a locomotive
ride,a journey in a vehicle (usually an automobile)
caught,"discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state"
fray,a noisy fight
jumped,move forward by leaps and bounds
dog,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
boots,footwear that covers the whole foot and lower leg
help,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
star,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
sheriff,the principal law-enforcement officer in a county
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
like,"a similar kind; ,"
glinted,"be shiny, as if wet"
metal,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
burned,destroy by fire
labels,a brief description given for purposes of identification
tall,a garment size for a tall person
feet,the part of the leg of a human being below the ankle joint
cans,airtight sealed metal container for food or drink or paint etc.
tin,a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
pile,a collection of objects laid on top of each other
loomed,"come into view indistinctly, often threateningly"
farther,more distant in especially space or time
bit,a small piece or quantity of something
pair,a set of two similar things considered as a unit
giving,the act of giving
torture,extreme mental distress
agreed,be in accord; be in agreement
spy,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
noodles,a ribbonlike strip of pasta
dumpling,small balls or strips of boiled or steamed dough
circle,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
half,one of two equal parts of a divisible whole
loved,have a great affection or liking for
perogies,unavailable
promised,make a promise or commitment
mom,informal terms for a mother
love,a strong positive emotion of regard and affection
finally,after an unspecified period of time or an especially long delay
cowboy,a hired hand who tends cattle and performs other duties on horseback
leather,an animal skin made smooth and flexible by removing the hair and then tanning
mean,an average of n numbers computed by adding some function of the numbers and dividing by some function of n
week,any period of seven consecutive days
brought,take something or somebody with oneself somewhere
home,where you live at a particular time
box,a (usually rectangular) container; may have a lid
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt
shape,any spatial attributes (especially as defined by outline)
size,the physical magnitude of something (how big it is)
hold,the act of grasping
filled,"make full, also in a metaphorical sense"
mashed,"to compress with violence, out of natural shape or condition"
potatoes,an edible tuber native to South America; a staple food of Ireland
cheese,a solid food prepared from the pressed curd of milk
war,the waging of armed conflict against an enemy
bad,that which is below standard or expectations as of ethics or decency
limp,the uneven manner of walking that results from an injured leg
arms,weapons considered collectively
thick,the location of something surrounded by other things
strong,having strength or power greater than average or expected
nipping,squeeze tightly between the fingers
man,an adult person who is male (as opposed to a woman)
change,an event that occurs when something passes from one state or phase to another
started,take the first step or steps in carrying out an action
born,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
time,an instance or single occasion for some event
months,one of the twelve divisions of the calendar year
died,pass from physical life and lose all bodily attributes and functions necessary to sustain life
grandma,the mother of your father or mother
polish,the property of being smooth and shiny
circus,a travelling company of entertainers; including trained animals
genuine,not fake or counterfeit
dirty,"make soiled, filthy, or dirty"
shoot,a new branch
grabbed,take hold of so as to seize or restrain or stop the motion of
shoes,a particular situation
pull,the act of pulling; applying force to move something toward or with you
spent,pass time in a specific way
morning,the time period between dawn and noon
following,a group of followers or enthusiasts
collection,several things grouped together or considered as a whole
truck,an automotive vehicle suitable for hauling
pretended,make believe with the intent to deceive
watching,the act of observing; taking a patient look
swing,a state of steady vigorous action that is characteristic of an activity
piles,pain caused by venous swelling at or inside the anal sphincter
bed,a piece of furniture that provides a place to sleep
waiting,the act of waiting (remaining inactive in one place while expecting something)
turn,a circular segment of a curve
scale,an ordered reference standard
ankles,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
climbed,go upward with gradual or continuous progress
poking,a sharp hand gesture (resembling a blow)
father,a male parent (also used as a term of address to your father)
standing,social or financial or professional status or reputation
let,a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
friend,a person you know well and regard with affection and trust
rolled,move by turning over or rotating
pointed,"indicate a place, direction, person, or thing; either spatially or figuratively"
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
grown,"pass into a condition gradually, take on a specific property or attribute; become"
looked,perceive with attention; direct one's gaze towards
big,above average in size or number or quantity or magnitude or extent
high,a lofty level or position or degree
live,inhabit or live in; be an inhabitant of
school,an educational institution
smudged,make a smudge on; soil by smudging
cheeks,either side of the face below the eyes
wide,having great (or a certain) extent from one side to the other
eyes,opinion or judgment
away,not present; having left
pulled,cause to move by pulling
shirt,a garment worn on the upper half of the body
