chapter_number,chapter_title,tokens,pos,lemma,tag,dep,sentence,title,ent_word,ent_label
Chapter 1,t[CE2]he Paper[KL3],best,ADJ,good,JJS,amod,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 1,t[CE2]he Paper[KL3],friend,NOUN,friend,NN,appos,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 1,t[CE2]he Paper[KL3],Eddie,PROPN,eddie,NNP,compound,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,Eddie Sullivan,PERSON
Chapter 1,t[CE2]he Paper[KL3],Sullivan,PROPN,sullivan,NNP,appos,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",Mr. Sullivan,Eddie Sullivan,PERSON
Chapter 1,t[CE2]he Paper[KL3],newspaper,NOUN,newspaper,NN,nsubj,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 1,t[CE2]he Paper[KL3],rolled,VERB,roll,VBN,ccomp,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 1,t[CE2]he Paper[KL3],pointed,VERB,point,VBD,conj,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 1,t[CE2]he Paper[KL3],like,ADP,like,IN,prep,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 1,t[CE2]he Paper[KL3],gun,NOUN,gun,NN,pobj,"
    My best friend, Eddie Sullivan, had a newspaper rolled and pointed at me like a gun.",,,
Chapter 7,the Yo-Yos,Eddie,PROPN,eddie,NNP,compound,"
    “I’m Eddie Sullivan, sir,” Eddie said.",,Eddie Sullivan,PERSON
Chapter 7,the Yo-Yos,Sullivan,PROPN,sullivan,NNP,attr,"
    “I’m Eddie Sullivan, sir,” Eddie said.",Mr. Sullivan,Eddie Sullivan,PERSON
Chapter 7,the Yo-Yos,sir,NOUN,sir,NN,appos,"
    “I’m Eddie Sullivan, sir,” Eddie said.",,,
