chapter_number,chapter_title,tokens,pos,lemma,tag,dep,sentence,title,ent_word,ent_label
Chapter 1,I Have (Not So Much) Confidence,Millions,NOUN,million,NNS,nsubj,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,Millions,CARDINAL
Chapter 1,I Have (Not So Much) Confidence,people,NOUN,people,NNS,pobj,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,day,NOUN,day,NN,npadvmod,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,problem,NOUN,problem,NN,pobj,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,old,ADJ,old,JJ,amod,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,people,NOUN,people,NNS,appos,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,babies,NOUN,baby,NNS,conj,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,pregnant,ADJ,pregnant,JJ,amod,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,women,NOUN,woman,NNS,conj,"Millions of people go through them every day without a problem: old people, babies, pregnant women.",,,
Chapter 1,I Have (Not So Much) Confidence,dad,NOUN,dad,NN,nsubj,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,told,VERB,tell,VBD,ROOT,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,me,PRON,i,PRP,dative,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,one summer,DATE
Chapter 1,I Have (Not So Much) Confidence,story,NOUN,story,NN,dobj,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,took,VERB,take,VBD,pcomp,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,bazillion,NOUN,bazillion,NN,compound,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,photos,NOUN,photo,NNS,dobj,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,bones,NOUN,bone,NNS,pobj,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,his,PRON,his,PRP$,poss,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,foot,NOUN,foot,NN,pobj,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,,
Chapter 1,I Have (Not So Much) Confidence,summer,NOUN,summer,NN,npadvmod,My dad told me this story of how he took a bazillion photos of the bones in his foot one summer.,,one summer,DATE
Chapter 1,I Have (Not So Much) Confidence,Doomsday,PROPN,doomsday,NNP,compound,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,Journal,PROPN,journal,NNP,pobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,2,NUM,2,CD,nummod,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,2,MONEY
Chapter 1,I Have (Not So Much) Confidence,page,NOUN,page,NN,pobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,14,NUM,14,CD,nummod,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,14,CARDINAL
Chapter 1,I Have (Not So Much) Confidence,section,NOUN,section,NN,dobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,warts,NOUN,wart,NNS,nsubjpass,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,caused,VERB,cause,VBN,pcomp,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,viruses,NOUN,virus,NNS,pobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,caught,VERB,catch,VBN,acl,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,touching,VERB,touch,VBG,pcomp,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,contaminated,VERB,contaminate,VBN,amod,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,surfaces,NOUN,surface,NNS,dobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,locker,NOUN,locker,NN,compound,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,room,NOUN,room,NN,compound,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,floor,NOUN,floor,NN,pobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,X,NOUN,x,NN,compound,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,ray,NOUN,ray,NN,compound,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,machine,NOUN,machine,NN,conj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,kid,NOUN,kid,NN,pobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 1,I Have (Not So Much) Confidence,town,NOUN,town,NN,pobj,"In Doomsday Journal #2, page 14, I have a section on how warts are caused by viruses caught by touching contaminated surfaces, such as a locker-room floor—or an X-ray machine used by every kid in town.",,,
Chapter 3,The Doomsday Journal,quote,INTJ,quote,UH,intj,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
Chapter 3,The Doomsday Journal,me,PRON,i,PRP,nsubj,"
    That quote made me laugh because I was afraid of getting lost, but that was covered in my rainbow diary, otherwise known as Doomsday Journal #2, on page 47 (DJ #2, p. 47).",,,
